Symbol;Security;SEC filings;GICS Sector;ID Sector;GICS Sub-Industry;Headquarters Location;Date first added;CIK;Founded
AEE;Ameren Corp;reports;Utilities;11;Multi-Utilities;St. Louis, Missouri;19/09/1991;1002910;1902
AEP;American Electric Power;reports;Utilities;11;Electric Utilities;Columbus, Ohio;04/03/1957;4904;1906
AES;AES Corp;reports;Utilities;11;Independent Power Producers & Energy Traders;Arlington, Virginia;02/10/1998;874761;1981
ATO;Atmos Energy;reports;Utilities;11;Gas Utilities;Dallas, Texas;15/02/2019;731802;1906
AWK;American Water Works;reports;Utilities;11;Water Utilities;Camden, New Jersey;04/03/2016;1410636;1886
CMS;CMS Energy;reports;Utilities;11;Multi-Utilities;Jackson, Michigan;03/05/1999;811156;1886
CNP;CenterPoint Energy;reports;Utilities;11;Multi-Utilities;Houston, Texas;31/07/1985;1130310;1882
D;Dominion Energy;reports;Utilities;11;Electric Utilities;Richmond, Virginia;;715957;1983
DTE;DTE Energy;reports;Utilities;11;Multi-Utilities;Detroit, Michigan;04/03/1957;936340;1995
DUK;Duke Energy;reports;Utilities;11;Electric Utilities;Charlotte, North Carolina;30/06/1976;1326160;1904
ED;Consolidated Edison;reports;Utilities;11;Electric Utilities;New York City, New York;;1047862;1823
EIX;Edison International;reports;Utilities;11;Electric Utilities;Rosemead, California;04/03/1957;827052;1886
ES;Eversource Energy;reports;Utilities;11;Multi-Utilities;Hartford, Connecticut;;72741;1966
ETR;Entergy;reports;Utilities;11;Electric Utilities;New Orleans, Louisiana;04/03/1957;65984;1913
EVRG;Evergy;reports;Utilities;11;Electric Utilities;Kansas City, Missouri;05/06/2018;1711269;1909
EXC;Exelon;reports;Utilities;11;Multi-Utilities;Chicago, Illinois;04/03/1957;1109357;2000
FE;FirstEnergy;reports;Utilities;11;Electric Utilities;Akron, Ohio;;1031296;1997
LNT;Alliant Energy;reports;Utilities;11;Electric Utilities;Madison, Wisconsin;01/07/2016;352541;1917
NEE;NextEra Energy;reports;Utilities;11;Multi-Utilities;Juno Beach, Florida;30/06/1976;753308;1984 (1925)
NI;NiSource;reports;Utilities;11;Multi-Utilities;Merrillville, Indiana;;1111711;1912
NRG;NRG Energy;reports;Utilities;11;Independent Power Producers & Energy Traders;Houston, Texas;29/01/2010;1013871;1992
PEG;Public Service Enterprise Group;reports;Utilities;11;Electric Utilities;Newark, New Jersey;04/03/1957;788784;1903
PNW;Pinnacle West Capital;reports;Utilities;11;Multi-Utilities;Phoenix, Arizona;;764622;1985
PPL;PPL;reports;Utilities;11;Electric Utilities;Allentown, Pennsylvania;;922224;1920
SO;Southern Company;reports;Utilities;11;Electric Utilities;Atlanta, Georgia;04/03/1957;92122;1945
SRE;Sempra Energy;reports;Utilities;11;Multi-Utilities;San Diego, California;;1032208;1998
WEC;WEC Energy Group;reports;Utilities;11;Electric Utilities;Milwaukee, Wisconsin;31/10/2008;783325;1896
XEL;Xcel Energy;reports;Utilities;11;Multi-Utilities;Minneapolis, Minnesota;04/03/1957;72903;1909
AMT;American Tower;reports;Real Estate;10;Specialized REITs;Boston, Massachusetts;19/11/2007;1053507;1995
ARE;Alexandria Real Estate Equities;reports;Real Estate;10;Office REITs;Pasadena, California;20/03/2017;1035443;1994
AVB;AvalonBay Communities;reports;Real Estate;10;Residential REITs;Arlington, Virginia[3];10/01/2007;915912;1978
BXP;Boston Properties;reports;Real Estate;10;Office REITs;Boston, Massachusetts;03/04/2006;1037540;1970
CBRE;CBRE;reports;Real Estate;10;Real Estate Services;Dallas, Texas;10/11/2006;1138118;1906
CCI;Crown Castle;reports;Real Estate;10;Specialized REITs;Houston, Texas;14/03/2012;1051470;1994
DLR;Digital Realty Trust;reports;Real Estate;10;Specialized REITs;Austin, Texas;18/05/2016;1297996;2004
DRE;Duke Realty Corp;reports;Real Estate;10;Industrial REITs;Indianapolis, Indiana;26/07/2017;783280;1972
EQIX;Equinix;reports;Real Estate;10;Specialized REITs;Redwood City, California;20/03/2015;1101239;1998
EQR;Equity Residential;reports;Real Estate;10;Residential REITs;Chicago, Illinois;03/12/2001;906107;1969
ESS;Essex Property Trust;reports;Real Estate;10;Residential REITs;San Mateo, California;02/04/2014;920522;1971
EXR;Extra Space Storage;reports;Real Estate;10;Specialized REITs;Salt Lake City, Utah;19/01/2016;1289490;1977
FRT;Federal Realty Investment Trust;reports;Real Estate;10;Retail REITs;Rockville, Maryland;01/02/2016;34903;1962
HST;Host Hotels & Resorts;reports;Real Estate;10;Hotel & Resort REITs;Bethesda, Maryland;20/03/2007;1070750;1993
IRM;Iron Mountain;reports;Real Estate;10;Specialized REITs;Boston, Massachusetts;06/01/2009;1020569;1951
KIM;Kimco Realty;reports;Real Estate;10;Retail REITs;New Hyde Park, New York;04/04/2006;879101;1958
MAA;Mid-America Apartments;reports;Real Estate;10;Residential REITs;Memphis, Tennessee;02/12/2016;912595;1977
O;Realty Income Corporation;reports;Real Estate;10;Retail REITs;San Diego, California;07/04/2015;726728;1969
PEAK;Healthpeak Properties;reports;Real Estate;10;Health Care REITs;Long Beach, California;31/03/2008;765880;1985
PLD;Prologis;reports;Real Estate;10;Industrial REITs;San Francisco, California;17/07/2003;1045609;1983
PSA;Public Storage;reports;Real Estate;10;Specialized REITs;Glendale, California;19/08/2005;1393311;1972
REG;Regency Centers;reports;Real Estate;10;Retail REITs;Jacksonville, Florida;02/03/2017;910606;1963
SBAC;SBA Communications;reports;Real Estate;10;Specialized REITs;Boca Raton, Florida;01/09/2017;1034054;1989
SPG;Simon Property Group;reports;Real Estate;10;Retail REITs;Indianapolis, Indiana;26/06/2002;1063761;2003
UDR;UDR;reports;Real Estate;10;Residential REITs;Highlands Ranch, Colorado;07/03/2016;74208;1972
VNO;Vornado Realty Trust;reports;Real Estate;10;Office REITs;New York City, New York;;899689;1982
VTR;Ventas;reports;Real Estate;10;Health Care REITs;Chicago, Illinois;04/03/2009;740260;1998
WELL;Welltower;reports;Real Estate;10;Health Care REITs;Toledo, Ohio;30/01/2009;766704;1970
WY;Weyerhaeuser;reports;Real Estate;10;Specialized REITs;Seattle, Washington;;106535;1900
ALB;Albemarle Corporation;reports;Materials;9;Specialty Chemicals;Charlotte, North Carolina;01/07/2016;915913;1994
AMCR;Amcor;reports;Materials;9;Paper Packaging;Zurich, Switzerland;07/06/2019;1748790;2019 (1860)
APD;Air Products & Chemicals;reports;Materials;9;Industrial Gases;Allentown, Pennsylvania;30/04/1985;2969;1940
AVY;Avery Dennison;reports;Materials;9;Paper Packaging;Glendale, California;31/12/1987;8818;1990
BLL;Ball Corp;reports;Materials;9;Metal & Glass Containers;Broomfield, Colorado;31/10/1984;9389;1880
CE;Celanese;reports;Materials;9;Specialty Chemicals;Irving, Texas;24/12/2018;1306830;1918
CF;CF Industries;reports;Materials;9;Fertilizers & Agricultural Chemicals;Deerfield, Illinois;27/08/2008;1324404;1946
CTVA;Corteva;reports;Materials;9;Fertilizers & Agricultural Chemicals;Wilmington, Delaware;03/06/2019;1755672;2019
DD;DuPont;reports;Materials;9;Specialty Chemicals;Wilmington, Delaware;02/04/2019;1666700;2017
DOW;Dow;reports;Materials;9;Commodity Chemicals;Midland, Michigan;01/04/2019;1751788;2019
ECL;Ecolab;reports;Materials;9;Specialty Chemicals;Saint Paul, Minnesota;31/01/1989;31462;1923
EMN;Eastman Chemical;reports;Materials;9;Diversified Chemicals;Kingsport, Tennessee;01/01/1994;915389;1920
FCX;Freeport-McMoRan;reports;Materials;9;Copper;Phoenix, Arizona;;831259;1912
FMC;FMC Corporation;reports;Materials;9;Fertilizers & Agricultural Chemicals;Philadelphia, Pennsylvania;19/08/2009;37785;1883
IFF;International Flavors & Fragrances;reports;Materials;9;Specialty Chemicals;New York City, New York;31/03/1976;51253;1958 (1889)
IP;International Paper;reports;Materials;9;Paper Packaging;Memphis, Tennessee;04/03/1957;51434;1898
LIN;Linde;reports;Materials;9;Industrial Gases;Guildford, England;01/07/1992;1707925;1879
LYB;LyondellBasell;reports;Materials;9;Specialty Chemicals;Rotterdam, Netherlands;05/09/2012;1489393;2007
MLM;Martin Marietta Materials;reports;Materials;9;Construction Materials;Raleigh, North Carolina;02/07/2014;916076;1993
MOS;The Mosaic Company;reports;Materials;9;Fertilizers & Agricultural Chemicals;Tampa, Florida;26/09/2011;1285785;2004 (1865 / 1909)
NEM;Newmont;reports;Materials;9;Gold;Denver, Colorado;30/06/1969;1164727;1921
NUE;Nucor;reports;Materials;9;Steel;Charlotte, North Carolina;30/04/1985;73309;1940
PKG;Packaging Corporation of America;reports;Materials;9;Paper Packaging;Lake Forest, Illinois;26/07/2017;75677;1959
PPG;PPG Industries;reports;Materials;9;Specialty Chemicals;Pittsburgh, Pennsylvania;04/03/1957;79879;1883
SEE;Sealed Air;reports;Materials;9;Paper Packaging;Charlotte, North Carolina;04/03/1957;1012100;1960
SHW;Sherwin-Williams;reports;Materials;9;Specialty Chemicals;Cleveland, Ohio;30/06/1964;89800;1866
VMC;Vulcan Materials;reports;Materials;9;Construction Materials;Birmingham, Alabama;30/06/1999;1396009;1909
WRK;WestRock;reports;Materials;9;Paper Packaging;Atlanta, Georgia;;1732845;2015
AAPL;Apple;reports;Information Technology;8;Technology Hardware, Storage & Peripherals;Cupertino, California;30/11/1982;320193;1977
ACN;Accenture;reports;Information Technology;8;IT Consulting & Other Services;Dublin, Ireland;06/07/2011;1467373;1989
ADBE;Adobe;reports;Information Technology;8;Application Software;San Jose, California;05/05/1997;796343;1982
ADI;Analog Devices;reports;Information Technology;8;Semiconductors;Wilmington, Massachusetts;12/10/1999;6281;1965
ADP;Automatic Data Processing;reports;Information Technology;8;Data Processing & Outsourced Services;Roseland, New Jersey;31/03/1981;8670;1949
ADSK;Autodesk;reports;Information Technology;8;Application Software;San Rafael, California;01/12/1989;769397;1982
AKAM;Akamai Technologies;reports;Information Technology;8;Internet Services & Infrastructure;Cambridge, Massachusetts;12/07/2007;1086222;1998
AMAT;Applied Materials;reports;Information Technology;8;Semiconductor Equipment;Santa Clara, California;16/03/1995;6951;1967
AMD;Advanced Micro Devices;reports;Information Technology;8;Semiconductors;Santa Clara, California;;2488;1969
ANET;Arista Networks;reports;Information Technology;8;Communications Equipment;Santa Clara, California;28/08/2018;1596532;2004
ANSS;Ansys;reports;Information Technology;8;Application Software;Canonsburg, Pennsylvania;19/06/2017;1013462;1969
APH;Amphenol;reports;Information Technology;8;Electronic Components;Wallingford, Connecticut;30/09/2008;820313;1932
AVGO;Broadcom;reports;Information Technology;8;Semiconductors;San Jose, California;08/05/2014;1730168;1961
BR;Broadridge Financial Solutions;reports;Information Technology;8;Data Processing & Outsourced Services;Lake Success, New York;18/06/2018;1383312;1962
CDAY;Ceridian;reports;Information Technology;8;Application Software;Minneapolis, Minnesota;20/09/2021;1725057;1992
CDNS;Cadence Design Systems;reports;Information Technology;8;Application Software;San Jose, California;18/09/2017;813672;1988
CDW;CDW;reports;Information Technology;8;Technology Distributors;Lincolnshire, Illinois;23/09/2019;1402057;1984
CRM;Salesforce;reports;Information Technology;8;Application Software;San Francisco, California;15/09/2008;1108524;1999
CSCO;Cisco Systems;reports;Information Technology;8;Communications Equipment;San Jose, California;01/12/1993;858877;1984
CTSH;Cognizant Technology Solutions;reports;Information Technology;8;IT Consulting & Other Services;Teaneck, New Jersey;17/11/2006;1058290;1994
CTXS;Citrix Systems;reports;Information Technology;8;Application Software;Fort Lauderdale, Florida;01/12/1999;877890;1989
DXC;DXC Technology;reports;Information Technology;8;IT Consulting & Other Services;Tysons Corner, Virginia;04/04/2017;1688568;2017
ENPH;Enphase Energy;reports;Information Technology;8;Electronic Components;Fremont, California;07/01/2021;1463101;2006
FFIV;F5 Networks;reports;Information Technology;8;Communications Equipment;Seattle, Washington;20/12/2010;1048695;1996
FIS;Fidelity National Information Services;reports;Information Technology;8;Data Processing & Outsourced Services;Jacksonville, Florida;10/11/2006;1136893;1968
FISV;Fiserv;reports;Information Technology;8;Data Processing & Outsourced Services;Brookfield, Wisconsin;02/04/2001;798354;1984
FLT;Fleetcor;reports;Information Technology;8;Data Processing & Outsourced Services;Norcross, Georgia;20/06/2018;1175454;2000
FTNT;Fortinet;reports;Information Technology;8;Systems Software;Sunnyvale, California;11/10/2018;1262039;2000
GLW;Corning;reports;Information Technology;8;Electronic Components;Corning, New York;;24741;1851
GPN;Global Payments;reports;Information Technology;8;Data Processing & Outsourced Services;Atlanta, Georgia;25/04/2016;1123360;2000
HPE;Hewlett Packard Enterprise;reports;Information Technology;8;Technology Hardware, Storage & Peripherals;Houston, Texas;02/11/2015;1645590;2015
HPQ;HP;reports;Information Technology;8;Technology Hardware, Storage & Peripherals;Palo Alto, California;31/12/1974;47217;1939 (2015)
IBM;IBM;reports;Information Technology;8;IT Consulting & Other Services;Armonk, New York;04/03/1957;51143;1911
INTC;Intel;reports;Information Technology;8;Semiconductors;Santa Clara, California;31/12/1976;50863;1968
INTU;Intuit;reports;Information Technology;8;Application Software;Mountain View, California;05/12/2000;896878;1983
IPGP;IPG Photonics;reports;Information Technology;8;Electronic Manufacturing Services;Oxford, Massachusetts;07/03/2018;1111928;1990
IT;Gartner;reports;Information Technology;8;IT Consulting & Other Services;Stamford, Connecticut;05/04/2017;749251;1979
JKHY;Jack Henry & Associates;reports;Information Technology;8;Data Processing & Outsourced Services;Monett, Missouri;13/11/2018;779152;1976
JNPR;Juniper Networks;reports;Information Technology;8;Communications Equipment;Sunnyvale, California;02/06/2006;1043604;1996
KEYS;Keysight Technologies;reports;Information Technology;8;Electronic Equipment & Instruments;Santa Rosa, California;06/11/2018;1601046;2014
KLAC;KLA Corporation;reports;Information Technology;8;Semiconductor Equipment;Milpitas, California;;319201;1975/1977 (1997)
LRCX;Lam Research;reports;Information Technology;8;Semiconductor Equipment;Fremont, California;29/06/2012;707549;1980
MA;Mastercard;reports;Information Technology;8;Data Processing & Outsourced Services;Harrison, New York;18/07/2008;1141391;1966
MCHP;Microchip Technology;reports;Information Technology;8;Semiconductors;Chandler, Arizona;07/09/2007;827054;1989
MPWR;Monolithic Power Systems;reports;Information Technology;8;Semiconductors;Kirkland, Washington;12/02/2021;1280452;1997
MSFT;Microsoft;reports;Information Technology;8;Systems Software;Redmond, Washington;01/06/1994;789019;1975
MSI;Motorola Solutions;reports;Information Technology;8;Communications Equipment;Chicago, Illinois;;68505;1928 (2011)
MU;Micron Technology;reports;Information Technology;8;Semiconductors;Boise, Idaho;27/09/1994;723125;1978
NLOK;NortonLifeLock;reports;Information Technology;8;Application Software;Tempe, Arizona;25/03/2003;849399;1982
NOW;ServiceNow;reports;Information Technology;8;Systems Software;Santa Clara, California;21/11/2019;1373715;2003
NTAP;NetApp;reports;Information Technology;8;Technology Hardware, Storage & Peripherals;Sunnyvale, California;25/06/1999;1002047;1992
NVDA;Nvidia;reports;Information Technology;8;Semiconductors;Santa Clara, California;30/11/2001;1045810;1993
NXPI;NXP;reports;Information Technology;8;Semiconductors;Eindhoven, Netherlands;22/03/2021;1413447;1953
ORCL;Oracle;reports;Information Technology;8;Application Software;Austin, Texas;31/08/1989;1341439;1977
PAYC;Paycom;reports;Information Technology;8;Application Software;Oklahoma City, Oklahoma;28/01/2020;1590955;1998
PAYX;Paychex;reports;Information Technology;8;Data Processing & Outsourced Services;Penfield, New York;;723531;1971
PTC;PTC;reports;Information Technology;8;Application Software;Boston, Massachusetts;20/04/2021;857005;1985
PYPL;PayPal;reports;Information Technology;8;Data Processing & Outsourced Services;San Jose, California;20/07/2015;1633917;1998
QCOM;Qualcomm;reports;Information Technology;8;Semiconductors;San Diego, California;;804328;1985
QRVO;Qorvo;reports;Information Technology;8;Semiconductors;Greensboro, North Carolina;11/06/2015;1604778;2015
SNPS;Synopsys;reports;Information Technology;8;Application Software;Mountain View, California;16/03/2017;883241;1986
STX;Seagate Technology;reports;Information Technology;8;Technology Hardware, Storage & Peripherals;Dublin, Ireland;02/07/2012;1137789;1979
SWKS;Skyworks Solutions;reports;Information Technology;8;Semiconductors;Woburn, Massachusetts;12/03/2015;4127;2002
TEL;TE Connectivity;reports;Information Technology;8;Electronic Manufacturing Services;Schaffhausen, Switzerland;17/10/2011;1385157;2007
TER;Teradyne;reports;Information Technology;8;Semiconductor Equipment;North Reading, Massachusetts;21/09/2020;97210;1960
TRMB;Trimble;reports;Information Technology;8;Electronic Equipment & Instruments;Sunnyvale, California;21/01/2021;864749;1978
TXN;Texas Instruments;reports;Information Technology;8;Semiconductors;Dallas, Texas;;97476;1930
TYL;Tyler Technologies;reports;Information Technology;8;Application Software;Plano, Texas;22/06/2020;860731;1966
V;Visa;reports;Information Technology;8;Data Processing & Outsourced Services;San Francisco, California;21/12/2009;1403161;1958
VRSN;Verisign;reports;Information Technology;8;Internet Services & Infrastructure;Dulles, Virginia;01/02/2006;1014473;1995
WDC;Western Digital;reports;Information Technology;8;Technology Hardware, Storage & Peripherals;San Jose, California;01/07/2009;106040;1970
WU;Western Union;reports;Information Technology;8;Data Processing & Outsourced Services;Englewood, Colorado;29/09/2006;1365135;1851
XLNX;Xilinx;reports;Information Technology;8;Semiconductors;San Jose, California;08/11/1999;743988;1984
ZBRA;Zebra Technologies;reports;Information Technology;8;Electronic Equipment & Instruments;Lincolnshire, Illinois;23/12/2019;877212;1969
AAL;American Airlines Group;reports;Industrials;7;Airlines;Fort Worth, Texas;23/03/2015;6201;1934
ALK;Alaska Air Group;reports;Industrials;7;Airlines;Seattle, Washington;13/05/2016;766421;1985
ALLE;Allegion;reports;Industrials;7;Building Products;New York City, New York;02/12/2013;1579241;1908
AME;Ametek;reports;Industrials;7;Electrical Components & Equipment;Berwyn, Pennsylvania;23/09/2013;1037868;1930
AOS;A. O. Smith;reports;Industrials;7;Building Products;Milwaukee, Wisconsin;26/07/2017;91142;1916
BA;Boeing;reports;Industrials;7;Aerospace & Defense;Chicago, Illinois;04/03/1957;12927;1916
CARR;Carrier Global;reports;Industrials;7;Building Products;Palm Beach Gardens, Florida;03/04/2020;1783180;2020 (1915)
CAT;Caterpillar;reports;Industrials;7;Construction Machinery & Heavy Trucks;Deerfield, Illinois;04/03/1957;18230;1925
